masking,class,rank,term,weight,cv_f1_mean,cv_f1_std
NONE,minimal,1,github,5.930265537542479,0.8976282853759701,0.00414773479185369
NONE,minimal,2,search,5.511208438072919,0.8976282853759701,0.00414773479185369
NONE,minimal,3,translation digital,3.900839193375126,0.8976282853759701,0.00414773479185369
NONE,minimal,4,translation based,3.2439042037838566,0.8976282853759701,0.00414773479185369
NONE,minimal,5,translated,3.196738984512737,0.8976282853759701,0.00414773479185369
NONE,minimal,6,equivalent digital,2.8579847863004373,0.8976282853759701,0.00414773479185369
NONE,minimal,7,query,2.701359342463776,0.8976282853759701,0.00414773479185369
NONE,minimal,8,translation combines,2.6997179326118266,0.8976282853759701,0.00414773479185369
NONE,minimal,9,search query,2.584036896932629,0.8976282853759701,0.00414773479185369
NONE,minimal,10,combination aims,2.5801470176505332,0.8976282853759701,0.00414773479185369
NONE,minimal,11,contexts,2.5795677381569337,0.8976282853759701,0.00414773479185369
NONE,minimal,12,scholarship,2.5467141044533523,0.8976282853759701,0.00414773479185369
NONE,minimal,13,direct,2.5035971955846428,0.8976282853759701,0.00414773479185369
NONE,minimal,14,iso code,2.3949793783097912,0.8976282853759701,0.00414773479185369
NONE,minimal,15,recognizable,2.2399882706778684,0.8976282853759701,0.00414773479185369
NONE,minimal,16,content,2.1614226353912733,0.8976282853759701,0.00414773479185369
NONE,minimal,17,speaking,2.1378984930632488,0.8976282853759701,0.00414773479185369
NONE,minimal,18,code,2.051234303479305,0.8976282853759701,0.00414773479185369
NONE,minimal,19,searching,2.027380884446352,0.8976282853759701,0.00414773479185369
NONE,minimal,20,based,2.000567032873074,0.8976282853759701,0.00414773479185369
NONE,github_searcher,1,translations,7.431554061832974,0.8976282853759701,0.00414773479185369
NONE,github_searcher,2,proposed,6.495938754105515,0.8976282853759701,0.00414773479185369
NONE,github_searcher,3,choice,4.405569869102175,0.8976282853759701,0.00414773479185369
NONE,github_searcher,4,proposed translations,4.330307546497161,0.8976282853759701,0.00414773479185369
NONE,github_searcher,5,claude,4.249685824746017,0.8976282853759701,0.00414773479185369
NONE,github_searcher,6,sources,4.1539493417148154,0.8976282853759701,0.00414773479185369
NONE,github_searcher,7,accurate,3.9251936495119026,0.8976282853759701,0.00414773479185369
NONE,github_searcher,8,aligns,3.4632094707896974,0.8976282853759701,0.00414773479185369
NONE,github_searcher,9,fluent_speaker,3.4452978616764827,0.8976282853759701,0.00414773479185369
NONE,github_searcher,10,consistent,3.4351212725084315,0.8976282853759701,0.00414773479185369
NONE,github_searcher,11,options,3.2899032385264553,0.8976282853759701,0.00414773479185369
NONE,github_searcher,12,accurately,3.247901277537553,0.8976282853759701,0.00414773479185369
NONE,github_searcher,13,agreed,3.2025121594301256,0.8976282853759701,0.00414773479185369
NONE,github_searcher,14,appropriate,3.20001809088553,0.8976282853759701,0.00414773479185369
NONE,github_searcher,15,use,3.127662862397898,0.8976282853759701,0.00414773479185369
NONE,github_searcher,16,making,3.1034619829653645,0.8976282853759701,0.00414773479185369
NONE,github_searcher,17,option,3.0699926137993936,0.8976282853759701,0.00414773479185369
NONE,github_searcher,18,llms,2.9793894077120116,0.8976282853759701,0.00414773479185369
NONE,github_searcher,19,widely agreed,2.963098018908934,0.8976282853759701,0.00414773479185369
NONE,github_searcher,20,best,2.9459178951784533,0.8976282853759701,0.00414773479185369
NONE,judge,1,iso,7.650748436697958,0.8976282853759701,0.00414773479185369
NONE,judge,2,breakdown,5.258688923920753,0.8976282853759701,0.00414773479185369
NONE,judge,3,term digital,3.4868976453172356,0.8976282853759701,0.00414773479185369
NONE,judge,4,alternative,2.6681080655962055,0.8976282853759701,0.00414773479185369
NONE,judge,5,modern,2.491499518690905,0.8976282853759701,0.00414773479185369
NONE,judge,6,literally,2.4900387633329077,0.8976282853759701,0.00414773479185369
NONE,judge,7,translation aims,2.350441925139361,0.8976282853759701,0.00414773479185369
NONE,judge,8,humanities translated,2.324393716902519,0.8976282853759701,0.00414773479185369
NONE,judge,9,digital translates,2.278699105212848,0.8976282853759701,0.00414773479185369
NONE,judge,10,其中,2.082994033211929,0.8976282853759701,0.00414773479185369
NONE,judge,11,translation breaks,2.0607555678373646,0.8976282853759701,0.00414773479185369
NONE,judge,12,translated literally,2.0590294220762035,0.8976282853759701,0.00414773479185369
NONE,judge,13,derived,2.0396643409784954,0.8976282853759701,0.00414773479185369
NONE,judge,14,convey essence,1.9495969797628085,0.8976282853759701,0.00414773479185369
NONE,judge,15,translation attempts,1.9443439296797298,0.8976282853759701,0.00414773479185369
NONE,judge,16,idea,1.9441911113530321,0.8976282853759701,0.00414773479185369
NONE,judge,17,note,1.9148365878504188,0.8976282853759701,0.00414773479185369
NONE,judge,18,word,1.8812046805228813,0.8976282853759701,0.00414773479185369
NONE,judge,19,approximation,1.8725254399813271,0.8976282853759701,0.00414773479185369
NONE,judge,20,borrowed,1.862870325843912,0.8976282853759701,0.00414773479185369
NAMES_ONLY,minimal,1,github,5.8389064453859,0.8974735088793523,0.003129766124719038
NAMES_ONLY,minimal,2,search,5.513937353170836,0.8974735088793523,0.003129766124719038
NAMES_ONLY,minimal,3,translation digital,3.94119152195918,0.8974735088793523,0.003129766124719038
NAMES_ONLY,minimal,4,translation based,3.238236096724484,0.8974735088793523,0.003129766124719038
NAMES_ONLY,minimal,5,translated,3.134049920156267,0.8974735088793523,0.003129766124719038
NAMES_ONLY,minimal,6,equivalent digital,2.8610926855280048,0.8974735088793523,0.003129766124719038
NAMES_ONLY,minimal,7,translation combines,2.707728144547251,0.8974735088793523,0.003129766124719038
NAMES_ONLY,minimal,8,query,2.701204380911862,0.8974735088793523,0.003129766124719038
NAMES_ONLY,minimal,9,contexts,2.603743465197437,0.8974735088793523,0.003129766124719038
NAMES_ONLY,minimal,10,search query,2.582781722879985,0.8974735088793523,0.003129766124719038
NAMES_ONLY,minimal,11,combination aims,2.566610997519257,0.8974735088793523,0.003129766124719038
NAMES_ONLY,minimal,12,direct,2.548394595182368,0.8974735088793523,0.003129766124719038
NAMES_ONLY,minimal,13,scholarship,2.5270486763643745,0.8974735088793523,0.003129766124719038
NAMES_ONLY,minimal,14,iso code,2.335205654083507,0.8974735088793523,0.003129766124719038
